Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1µF,
C3,0603,1,10u,
C5,0603,1,1uF,
D1,DIO_STPS1L40M,1,STPS120M,
D2,DIOM4336X265N,1,D_TVS,
J10,PinHeader_1x01_P1.00mm_Vertical,1,arduino enc,
J11,PinHeader_1x01_P1.00mm_Vertical,1,turbine pwr,
J5,PinHeader_1x01_P1.00mm_Vertical,1,5v,
J7,PinHeader_1x01_P1.00mm_Vertical,1,4.5v,
J8,PinHeader_1x01_P1.00mm_Vertical,1,GND,
J9,PinHeader_1x01_P1.00mm_Vertical,1,arduino lin act,
L2,SRN3015,1,SRN3015-100M,
"R1, R2, R3, R4, R8",0603,5,220Ω,
"R10, R11",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,R,
"R5, R6",0603,2,10k,
R7,0603,1,2.2kΩ,
R9,2512,1,10,
U1,ina260,1,INA260AIPWR,
