Designator,Mid X,Mid Y,Rotation,Layer
C1,143.0,-98.5,90.0,top
C3,163.0,-104.0,0.0,top
C5,161.5,-110.725,270.0,top
D1,165.0,-108.0,270.0,top
D2,155.5,-90.0,0.0,top
J10,182.5,-57.0,0.0,top
J11,182.5,-60.0,0.0,top
J5,178.0,-56.9,0.0,top
J7,178.0,-60.0,0.0,top
J8,178.0,-54.0,0.0,top
J9,182.5,-54.0,0.0,top
L2,158.5,-106.9,0.0,top
R1,83.77,-95.0,270.0,top
R10,120.5,-56.5,0.0,top
R11,134.5,-56.5,0.0,top
R2,84.0,-79.0,270.0,top
R3,148.5,-98.5,90.0,top
R4,83.77,-87.44,90.0,top
R5,145.0,-92.0,180.0,top
R6,142.0,-85.5,270.0,top
R7,155.5,-102.0,180.0,top
R8,83.98,-73.0,90.0,top
R9,164.5,-116.0,90.0,top
U1,146.5,-85.5,270.0,top
